id,eldas_number,em_number,ean_number,number,title,volt,ampere,pole,schutzart,hilfskontakt,ek,uvp_egh,uvp_installateur,form_data,form_data_saesseli,ferratec_shop_url_de,ferratec_shop_url_fr,publish,has_image,created_at,updated_at
1,,,,"5611306G","{""de"":""Wandsteckdose DUOi 16A3P 6H230V IP44"",""en"":""Wandsteckdose DUOi 16A3P 6H230V IP44"",""fr"":""Wandsteckdose DUOi 16A3P 6H230V IP44"",""it"":""Wandsteckdose DUOi 16A3P 6H230V IP44""}","230V","16A","3","IP44","Nein",0.00,0.00,0.00,,,,,0,0,,
2,,,,"5611306H","{""de"":""Wandsteckdose DUOi 16A3P 6H230V IP44 1HC"",""en"":""Wandsteckdose DUOi 16A3P 6H230V IP44 1HC"",""fr"":""Wandsteckdose DUOi 16A3P 6H230V IP44 1HC"",""it"":""Wandsteckdose DUOi 16A3P 6H230V IP44 1HC""}","230V","16A","3","IP44","Ja",0.00,0.00,0.00,,,,,0,0,,
